calcimycin,d03.633.100.221.173
blastocyst,a16.254.500
blastoderm,a16.331.024
blastomeres,a11.872.700.250.130
blastomeres,a16.094
blastomyces,b01.300.381.125
blastomycosis,c01.539.800.200.055
blastomycosis,c01.703.295.055
blastomycosis,c01.703.534.395
blastomycosis,c08.381.472.350
blastomycosis,c08.730.435.395
blastomycosis,c17.800.838.208.055
bleeding time,e01.370.225.625.625.100
bleeding time,e05.200.625.625.100
bleeding time,g09.188.087
bleomycin,d09.400.420.110
bleomycin,d12.644.233.110
blepharitis,c11.338.133
blepharoptosis,c11.338.204
blepharospasm,c11.338.250
blind loop syndrome,c06.405.469.637.145
blind loop syndrome,c18.452.603.145
blindness,c10.597.751.941.162
blindness,c11.966.075
blindness,c23.888.592.763.941.162
blinking,g11.561.731.127
blinking,g14.152
blister,c17.800.865.187
blister,c23.300.122
blood,a12.207.152
blood,a15.145
blood bactericidal activity,g09.188.100
blood bactericidal activity,g12.450.564.204
blood banks,n02.278.065.200
blood cell count,e01.370.225.500.195.107
blood cell count,e01.370.225.625.107
blood cell count,e05.200.500.195.107
blood cell count,e05.200.625.107
blood cell count,e05.242.195.107
blood cell count,g04.140.107
blood cell count,g09.188.105
blood cells,a11.118
blood cells,a15.145.229
blood chemical analysis,e01.370.225.124.100
blood chemical analysis,e05.200.124.100
blood circulation,g09.330.100
blood circulation time,e01.370.370.120
blood coagulation,g09.188.390.150
blood coagulation disorders,c15.378.100
blood coagulation factors,d12.776.124.125
blood coagulation factors,d23.119
blood coagulation tests,e01.370.225.625.115
blood coagulation tests,e05.200.625.115
blood component removal,e02.120
blood donors,m01.898.313
blood flow velocity,e01.370.370.130
blood flow velocity,g09.330.380.630.080
blood gas analysis,e01.370.225.124.100.100
blood gas analysis,e01.370.386.700.100
blood gas analysis,e05.200.124.100.100
"blood gas monitoring, transcutaneous",e01.370.225.124.100.100.600.100
"blood gas monitoring, transcutaneous",e01.370.370.380.600.100
"blood gas monitoring, transcutaneous",e01.370.386.700.100.600.100
"blood gas monitoring, transcutaneous",e05.200.124.100.100.600.100
blood glucose,d09.947.875.359.448.500
blood group incompatibility,g09.188.114
blood group incompatibility,g12.186
blood grouping and crossmatching,e01.370.225.625.120
blood grouping and crossmatching,e01.370.225.812.385.120
blood grouping and crossmatching,e05.200.625.120
blood grouping and crossmatching,e05.200.812.385.120
blood grouping and crossmatching,e05.478.594.385.120
blood group antigens,d23.050.301.290
blood group antigens,d23.050.705.230
blood physiological phenomena,g09.188
blood platelet disorders,c15.378.140
blood platelets,a11.118.188
blood platelets,a15.145.229.188
blood preservation,e02.792.833.230
blood preservation,e05.760.833.230
blood pressure,e01.370.600.875.249
blood pressure,g09.330.380.076
blood pressure determination,e01.370.370.140
blood pressure determination,e01.370.600.100
blood protein disorders,c15.378.147
blood protein electrophoresis,e01.370.225.124.100.110
blood protein electrophoresis,e05.196.401.076
blood protein electrophoresis,e05.200.124.100.110
blood protein electrophoresis,e05.301.300.049
blood proteins,d12.776.124
blood sedimentation,e01.370.225.625.125
blood sedimentation,e05.200.625.125
blood specimen collection,e01.370.225.998.110
blood specimen collection,e04.665.150
blood specimen collection,e05.200.998.110
blood stains,i01.198.780.937.206
blood substitutes,d27.505.954.502.140
blood substitutes,j01.637.087.249
blood transfusion,e02.095.135
"blood transfusion, autologous",e02.095.135.164
"blood transfusion, intrauterine",e02.095.135.264
"blood transfusion, intrauterine",e02.467.500
blood urea nitrogen,e01.370.225.124.100.115
blood urea nitrogen,e01.370.390.400.100
blood urea nitrogen,e05.200.124.100.115
blood vessel prosthesis,e07.695.110
blood vessels,a07.015
blood viscosity,g09.188.370.124
blood viscosity,g09.330.380.630.110
blood volume,g09.188.130
blood volume,g09.330.380.092
blood volume determination,e01.370.370.150
blood-brain barrier,a07.035
blood-brain barrier,a08.186.211.035
blood-retinal barrier,a07.040
blood-retinal barrier,a09.371.729.055
blood-testis barrier,a05.360.444.849.700.349
blood-testis barrier,a07.045
bloodletting,e02.800.558.500
bloom syndrome,c16.131.077.137
bloom syndrome,c18.452.284.100
bluetongue,c02.081.125
bluetongue,c02.782.791.315
bluetongue,c22.836.120
bluetongue virus,b04.820.630.550.100
blushing,f01.145.209.530.136
blushing,f02.830.158
body burden,e05.799.638.231
body burden,n06.850.460.200
body composition,g02.111.130
body composition,g03.180
body composition,g07.100.049
body constitution,e01.370.600.115
body constitution,g07.100
body fluid compartments,a10.082
body fluid compartments,a12.207.180
body fluids,a12.207
body height,e01.370.600.115.100.160.100
body height,e05.041.124.160.500
body height,g07.100.100.160.100
body height,g07.345.249.314.100
body image,f01.752.747.792.110
body image,f02.463.593.112
body regions,a01
body surface area,e01.370.600.115.100.231
body surface area,e05.041.124.231
body surface area,g07.100.100.231
body temperature,e01.370.600.875.374
body temperature,g07.110
body temperature changes,c23.888.119
body temperature regulation,g07.110.232
body temperature regulation,g07.410.421
body temperature regulation,g16.012.500.535
body water,a12.207.200
body weight,c23.888.144
body weight,e01.370.600.115.100.160.120
body weight,e05.041.124.160.750
body weight,g07.100.100.160.120
body weight,g07.345.249.314.120
body weight changes,c23.888.144.243
body weight changes,g07.345.249.314.120.200
body weights and measures,e01.370.600.115.100
body weights and measures,e05.041.124
body weights and measures,g07.100.100
bolivia,z01.107.757.136
bombesin,d06.472.699.100
bombesin,d12.644.400.085
bombesin,d12.644.548.100
bombesin,d12.776.631.650.085
bombesin,d20.888.033.137
bombesin,d23.946.833.033.137
dental bonding,e06.095
"bonding, human-pet",f02.739.794.624.120
bone and bones,a02.835.232
bone and bones,a10.165.265
bone cements,d05.750.716.822.300
bone cements,d25.720.716.822.300
bone cements,d27.720.102.158
bone cements,j01.637.051.720.716.822.300
bone conduction,f02.830.816.263.500
bone conduction,g11.561.790.263.398
bone cysts,c04.182.089
bone cysts,c05.116.070
bone development,g07.345.500.325.377.625.050.500
bone development,g11.427.578.050.500
bone diseases,c05.116
"bone diseases, developmental",c05.116.099
"bone diseases, endocrine",c05.116.132
"bone diseases, endocrine",c19.149
"bone diseases, infectious",c01.539.160
"bone diseases, infectious",c05.116.165
"bone diseases, metabolic",c05.116.198
"bone diseases, metabolic",c18.452.104
bone lengthening,e04.555.120
bone marrow,a15.382.216
bone marrow cells,a11.148
bone marrow cells,a15.378.316
bone marrow diseases,c15.378.190
bone marrow examination,e01.370.225.625.135
bone marrow examination,e05.200.625.135
bone matrix,a10.165.265.166
bone nails,e07.695.370.249
bone nails,e07.858.442.660.460.249
bone nails,e07.858.690.725.460.249
bone neoplasms,c04.588.149
bone neoplasms,c05.116.231
bone plates,e07.695.370.374
bone plates,e07.858.442.660.460.374
bone plates,e07.858.690.725.460.374
bone regeneration,g11.427.213.140
bone regeneration,g16.762.150.150
bone resorption,c05.116.264
bone resorption,g11.427.213.150
bone screws,e07.695.370.437
bone screws,e07.858.442.660.460.437
bone screws,e07.858.690.725.460.437
bone wires,e07.695.370.468
bone wires,e07.858.442.660.460.468
bone wires,e07.858.690.725.460.468
bongkrekic acid,d02.241.081.337.075
book classification,l01.453.245.250.150
book classification,l01.453.819.250.150
book collecting,l01.583.182
book imprints,l01.178.682.192.122
book imprints,l01.737.150.159
book industry,j01.576.655.374
book industry,l01.737.150
book ornamentation,l01.178.682.192.178
book prices,l01.737.150.340.250
book reviews as topic,l01.178.682.150
book selection,l01.453.220
bookbinding,l01.737.150.317
bookplates as topic,l01.178.682.192.234
books,l01.178.682.192
"books, illustrated",j01.897.280.500.117
"books, illustrated",l01.178.682.192.289
bookselling,l01.737.150.340
boranes,d01.132.105
boranes,d02.203.087
borates,d01.132.250.075
borates,d01.248.497.158.076
borates,d02.203.130.075
border disease,c02.782.350.675.100
border disease,c22.836.160
borderline personality disorder,f03.675.100
bordetella,b03.440.400.425.115.425
bordetella,b03.660.075.090.344.425
bordetella infections,c01.252.400.143
bordetella pertussis,b03.440.400.425.115.425.600
bordetella pertussis,b03.660.075.090.344.425.600
boredom,f01.470.192
boric acids,d01.029.260.093
boric acids,d01.132.250
boric acids,d02.203.130
borinic acids,d01.029.260.100
borinic acids,d01.132.275
borinic acids,d02.203.187
borna disease,c02.782.580.124
borna disease,c22.152
borna disease virus,b04.820.455.149.135
bornanes,d02.455.849.575.781.234
borneo,z01.252.145.103
borneo,z01.639.160
borohydrides,d01.132.105.050
borohydrides,d02.203.087.050
boron,d01.268.513.500
boron compounds,d01.132
boron compounds,d02.203
boronic acids,d01.029.260.110
boronic acids,d01.132.285
boronic acids,d02.203.200
borrelia,b03.440.425.410.711.193
borrelia,b03.851.595.193
borrelia infections,c01.252.400.155
borrelia infections,c01.252.847.193
boston,z01.107.567.875.550.510.210
boston,z01.433.210
botany,h01.158.273.118
botswana,z01.058.290.175.230
bottle feeding,e02.421.150
bottle feeding,f01.145.407.099
bottle feeding,g07.203.650.220.500.250
bottle feeding,g07.203.650.353.099
botulinum antitoxin,d12.776.124.486.485.114.573.601.268
botulinum antitoxin,d12.776.124.790.651.114.573.601.268
botulinum antitoxin,d12.776.377.715.548.114.573.601.268
botulinum antitoxin,d20.215.401.601.276
botulinum toxins,d08.811.277.656.300.480.153
botulinum toxins,d08.811.277.656.675.374.153
botulinum toxins,d12.776.097.156
botulinum toxins,d23.946.123.179
botulism,c01.252.410.222.151
botulism,c10.668.758.200
botulism,c10.720.150
botulism,c25.723.415.151
boutonneuse fever,c01.252.400.780.790.750.250
boutonneuse fever,c01.252.400.825.887.250
"diarrhea viruses, bovine viral",b04.820.250.700.150
"leukemia virus, bovine",b04.613.807.200.600
"leukemia virus, bovine",b04.820.650.200.600
"herpesvirus 2, bovine",b04.280.382.100.750.200
bovine virus diarrhea-mucosal disease,c02.782.350.675.106
bovine virus diarrhea-mucosal disease,c22.196.106
bowen's disease,c04.557.470.200.400.130
bowen's disease,c04.557.470.700.400.130
boxing,i03.450.642.845.210
braces,e07.858.442.743.319
brachial artery,a07.015.114.139
brachial plexus,a08.800.800.720.050
brachytherapy,e02.815.150
bradycardia,c14.280.067.319
bradycardia,c23.550.073.300
bradykinin,d12.644.276.812.169
bradykinin,d12.644.400.090
bradykinin,d12.644.456.193
bradykinin,d12.776.467.812.169
bradykinin,d12.776.631.650.090
bradykinin,d23.469.050.375.110
bradykinin,d23.529.812.169
brain,a08.186.211
brain abscess,c01.395.250
brain abscess,c01.539.830.025.160
brain abscess,c10.228.140.116
brain abscess,c10.228.228.090
brain chemistry,g02.111.150
brain chemistry,g03.185
brain concussion,c10.228.140.199.444.250
brain concussion,c10.900.300.087.235.250
brain concussion,c10.900.300.350.300
brain concussion,c26.915.300.200.194.250
brain concussion,c26.915.300.450.500
brain concussion,c26.974.382.200
"brain damage, chronic",c10.228.140.140
brain death,c10.228.140.151
brain death,c10.597.606.358.800.200.100
brain death,c23.550.260.159
brain diseases,c10.228.140
"brain diseases, metabolic",c10.228.140.163
"brain diseases, metabolic",c18.452.132
brain edema,c10.228.140.187
brain injuries,c10.228.140.199
brain injuries,c10.900.300.087
brain injuries,c26.915.300.200
brain mapping,e01.370.350.578.875.500
brain mapping,e01.370.376.537.625.500
brain mapping,e05.629.875.500
brain neoplasms,c04.588.614.250.195
brain neoplasms,c10.228.140.211
brain neoplasms,c10.551.240.250
brain stem,a08.186.211.132
branchial region,a16.142
branchioma,c04.182.117
moraxella (branhamella) catarrhalis,b03.440.400.425.537.525.200
moraxella (branhamella) catarrhalis,b03.660.250.530.525.200
brassica,b01.650.940.800.575.912.250.157.200
brazil,z01.107.757.176
bread,g07.203.300.100
bread,j02.500.100
breast,a01.236
breast diseases,c17.800.090
breast feeding,f01.145.407.199
breast feeding,g07.203.650.195
breast feeding,g07.203.650.220.500.500
breast feeding,g07.203.650.353.199
breast neoplasms,c04.588.180
breast neoplasms,c17.800.090.500
breath tests,e01.370.100
breathing exercises,e02.190.525.186
breathing exercises,e02.779.474.124
breech presentation,c13.703.420.183
breech presentation,g08.686.520.150
breech presentation,g08.686.784.769.326.520.150
breeding,e05.820.150
breeding,g05.090
brenner tumor,c04.557.450.565.590.595.150
brenner tumor,c04.557.470.625.150
brenner tumor,c13.351.500.056.630.705.265
brenner tumor,c13.351.937.418.685.265
brenner tumor,c19.391.630.705.265
bretylium compounds,d02.092.877.096.333
bretylium tosylate,d02.092.877.096.333.150
brevibacterium,b03.510.024.049.100
brevibacterium,b03.510.460.400.400.049.550
bridged-ring compounds,d02.455.426.100
bridged-ring compounds,d04.075
brinolase,d08.811.277.656.300.099
british columbia,z01.107.567.176.160
broad ligament,a02.513.170
broad ligament,a05.360.319.114.170
broad ligament,a10.165.669.170
broadsides as topic,l01.178.682.236
brocresine,d02.455.426.559.389.657.239.180
bromates,d01.139.100
bromates,d01.248.497.158.100
bromazepam,d03.633.100.079.080.070.110
bromcresol green,d02.455.426.559.389.657.239.190
bromcresol green,d02.455.426.559.389.832.140
bromcresol green,d02.886.590.887.140
bromcresol purple,d02.455.426.559.389.657.239.195
bromcresol purple,d02.455.426.559.389.832.150
bromcresol purple,d02.886.590.887.150
bromelains,d08.811.277.656.262.500.096
bromelains,d08.811.277.656.300.200.096
bromhexine,d02.092.146.300
bromhexine,d02.092.384.175
bromides,d01.139.300.050
bromides,d01.248.497.158.125
bromine,d01.268.380.112
bromine radioisotopes,d01.496.749.090
bromisovalum,d02.948.160
bromobenzenes,d02.455.426.559.389.220
bromobenzenes,d02.455.526.368.150
bromobenzoates,d02.241.223.100.150
bromobenzoates,d02.455.426.559.389.127.150
bromocriptine,d03.132.327.412.100
bromocriptine,d03.633.400.439.131
bromocriptine,d03.633.400.562.100
bromodeoxycytidine,d03.383.742.680.245.500.250
bromodeoxycytidine,d13.570.230.329.100
bromodeoxycytidine,d13.570.685.245.500.250
bromodeoxyuridine,d03.383.742.680.852.300.150
bromodeoxyuridine,d13.570.230.430.196
bromodeoxyuridine,d13.570.685.852.300.150
bromosuccinimide,d02.478.770.150
bromosuccinimide,d03.383.773.812.852.150
bromotrichloromethane,d02.455.526.368.200
bromotrichloromethane,d02.455.526.439.224.200
bromouracil,d03.383.742.698.875.237
brompheniramine,d03.383.725.620.129
bromphenol blue,d02.455.426.559.389.657.150
bromphenol blue,d02.455.426.559.389.832.180
bromphenol blue,d02.886.590.887.180
bromthymol blue,d02.455.426.559.389.832.200
bromthymol blue,d02.455.849.575.875.200
bromthymol blue,d02.886.590.887.200
bronchi,a04.411.125
bronchial arteries,a07.015.114.158
bronchial diseases,c08.127
bronchial fistula,c08.127.196
bronchial fistula,c08.702.196
bronchial fistula,c23.300.575.687.225
bronchial neoplasms,c04.588.894.797.520.109
bronchial neoplasms,c08.127.265
bronchial neoplasms,c08.785.520.100
bronchial provocation tests,e01.370.386.700.125
bronchial spasm,c08.127.321
bronchiectasis,c08.127.384
bronchiolitis,c08.127.446.135
bronchiolitis,c08.381.495.146.135
bronchiolitis,c08.730.099.135
bronchiolitis obliterans,c08.127.446.135.140
bronchiolitis obliterans,c08.381.495.146.135.140
"bronchiolitis, viral",c02.109
"bronchiolitis, viral",c08.127.446.135.321
"bronchiolitis, viral",c08.381.495.146.135.321
"bronchiolitis, viral",c08.730.099.135.321
bronchitis,c08.127.446
bronchitis,c08.381.495.146
bronchitis,c08.730.099
bronchoalveolar lavage fluid,e05.927.100.500
bronchodilator agents,d27.505.696.663.050.110
bronchodilator agents,d27.505.954.796.050.100
bronchogenic cyst,c04.182.195
bronchogenic cyst,c08.127.480
bronchogenic cyst,c08.695.195
bronchogenic cyst,c16.131.740.195
bronchography,e01.370.350.700.730.100
bronchography,e01.370.386.100
bronchopneumonia,c08.127.509
bronchopneumonia,c08.381.677.127
bronchopneumonia,c08.730.610.127
bronchopulmonary dysplasia,c08.381.520.750.500
bronchopulmonary dysplasia,c16.614.521.125
bronchopulmonary sequestration,c08.695.214
bronchopulmonary sequestration,c16.131.740.214
bronchoscopy,e01.370.386.105
bronchoscopy,e01.370.388.250.100
bronchoscopy,e04.502.250.100
bronchoscopy,e04.928.600.080
bronchospirometry,e01.370.386.700.750.100
"adipose tissue, brown",a10.165.114.322
brucella,b03.440.400.425.215.500
brucella,b03.660.050.070.100
brucella abortus,b03.440.400.425.215.500.100
brucella abortus,b03.660.050.070.100.100
brucella vaccine,d20.215.894.135.134
brucellosis,c01.252.400.167
"brucellosis, bovine",c01.252.400.167.322
"brucellosis, bovine",c22.021.322
"brucellosis, bovine",c22.196.148
brugia,b01.050.500.500.294.400.937.463.088
brunei,z01.252.145.130
brunner glands,a03.556.124.684.124.322
brunner glands,a03.556.875.249.322
bruxism,c07.793.099
bryozoa,b01.050.500.217
bucrylate,d02.241.081.069.366.200
bucrylate,d02.626.290.200
bucrylate,d05.750.259.341.110
bucrylate,d25.720.259.341.110
bucrylate,d25.919.367.341.110
bucrylate,j01.637.051.720.259.341.110
bucrylate,j01.637.051.919.367.341.110
buddhism,k01.844.117
budgets,n03.219.463.060
bufanolides,d04.210.500.155.580.064
bufexamac,d02.065.064.294.088
bufexamac,d02.092.570.394.150
bufexamac,d02.241.511.372.150
bufexamac,d02.455.426.559.389.048.088
buffaloes,b01.050.150.900.649.313.500.380.135
buffers,d27.720.470.280
bufo arenarum,b01.050.150.900.090.180.210.080
bufo bufo,b01.050.150.900.090.180.210.108
bufo marinus,b01.050.150.900.090.180.210.580
bufonidae,b01.050.150.900.090.180.210
buformin,d02.078.370.141.075
bufotenin,d03.633.100.473.914.237.150
bufotenin,d03.633.100.473.914.814.150
